"Speciality","contract","Check_Type","LicenseNumber","LocationNumber","FacInstanceId","FacilityType","FacilityName","FacilityStatus","LocationAddress","LocationCity","LocationState","LocationZipCode","LocationCounty","MailAddress","MailCity","MailState","MailZipCode","TelephoneNmbr","FaxNmbr","ConfidentialFaxNmbr","RCSRegionUnit","SpecialityCode","ContractCode","FacilityPOC","LicensedBedCount","LicenseExpirationDate","CheckCompleteDate","CheckType","POCId","MemoryCertFlag","Has Reports?","Reports Location",
"None","No Contract","","2704","60009702","49914","BH  ","Wesley Homes Des Moines LLC","OP    ","815 S 216th St","Des Moines","WA","98198","King","815 S 216th St","Des Moines","WA","98198","(206) 870-8706","(206) 870-4562","","2D","","","Rowe, Robert W.","32","7/31/2026 12:00:00 AM","","","749990","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2704",
"None","No Contract","","1964","60009509","39129","BH  ","Wesley Homes Lea Hill LLC","OP    ","32049 109th Place SE","Auburn","WA","98092","King","32049 109th Place SE","Auburn","WA","98092","(253) 804-5644","(253) 876-1155","","2D","","","Bloodworth, Jamilyn","20","7/31/2026 12:00:00 AM","","","886553","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1964",
"None","Assisted Living SOW","","2707","60008900","50257","BH  ","White River Assisted Living And Memory Care","OP    ","2454 COLE STREET","ENUMCLAW","WA","98022","King","2454 COLE STREET","ENUMCLAW","WA","98022","(360) 825-4565","","(360) 825-5029","2D","","1002XS-12 ","Gaines, Robina","52","3/31/2027 12:00:00 AM","","","750690","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2707",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS, Adult Residential Care","","2663","60000673","48451","BH  ","Arbor Assisted Living","OP    ","3500 9TH ST","BREMERTON","WA","98312","Kitsap","3500 9TH ST","BREMERTON","WA","98312","(360) 477-7673","","(360) 824-5951","3D","","1006XS-12 , 1002XS-12 , 1006XS-12 , 1007XS-12 ","Nielsen, Rebekah","62","4/30/2027 12:00:00 AM","","","1044366","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2663",
"None","No Contract","","1947","60008721","39085","BH  ","Ashley Gardens of Bremerton","OP    ","3231 Pine Rd NE","Bremerton","WA","98310","Kitsap","3231 Pine Rd NE","Bremerton","WA","98310","(360) 478-7277","(360) 479-0759","","3D","","","Davis, Mariah","40","3/31/2027 12:00:00 AM","","","892490","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1947",
"None","No Contract","","2785","60008743","52316","BH  ","Bay Pointe Assisted Living","OP    ","966 Oyster Bay Court","Bremerton","WA","98312","Kitsap","966 Oyster Bay Court","Bremerton","WA","98312","(360) 373-9904","","(360) 373-0346","3D","","","Fitzgerald-Parpart, Haley L.","75","8/31/2026 12:00:00 AM","","","845051","False","No"," ",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW","","1983","60009510","39208","BH  ","BAY VISTA COMMONS ASSISTED LIVING COMMUNITY","OP    ","191 Russell Road","Bremerton","WA","98312","Kitsap","191 Russell Road","Bremerton","WA","98312","(360) 377-8300","","(360) 377-6090","3D","","1027XS-12 , 1006XS-12 , 1002XS-12 ","Payseno, Jamie R.","76","12/31/2026 12:00:00 AM","","","514599","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1983",
"None","Enhanced Adult Residential Care, Assisted Living SOW","","2274","60008873","42400","BH  ","Brookdale Montclair Poulsbo","OP    ","1250 NE Lincoln Rd","Poulsbo","WA","98370","Kitsap","1250 NE Lincoln Rd","Poulsbo","WA","98370","(360) 697-2223","(360) 598-9517","","3D","","1006XS-12 , 1002XS-12 ","Cary, Adam","122","7/31/2026 12:00:00 AM","","","885080","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2274",
"None","No Contract","","2783","60000659","52488","BH  ","Clearbrook Inn Living Center","OP    ","2333 NW Schold Place","Silverdale","WA","98383","Kitsap","12295 Schold Rd NW","Silverdale","WA","98383","(360) 692-1228","","(360) 308-9150","3D","","","Filbey, Adam","53","4/30/2027 12:00:00 AM","","","749149","False","No"," ",
"None","Assisted Living SOW, Adult Residential Care","Facility Not Accepting Medicaid Clients","1041","60007266","30339","BH  ","COURTYARD AT CRISTA SHORES","OP    ","1600 NW CRISTA SHORES LANE","SILVERDALE","WA","98383","Kitsap","1600 NW CRISTA SHORES LANE","SILVERDALE","WA","98383","(360) 698-0900","","(360) 613-3529","3D","","1002XS-12 , 1007XS-12 ","Cochran, Jamie","82","11/30/2026 12:00:00 AM","9/12/2024 7:32:00 AM","Facility Not Accepting Medicaid Clients","1298307","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1041",
"None","Enhanced Adult Residential Care","","2583","60009671","46690","BH  ","Fieldstone Memory Care of Silverdale","OP    ","11313 Clear Creek Rd NW","Silverdale","WA","98383","Kitsap","11313 Clear Creek Rd NW","Silverdale","WA","98383","(360) 979-2256","","","3D","","1006XS-12 ","Perry, Stephanie","58","7/31/2026 12:00:00 AM","","","1232349","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2583",
"None","No Contract","","2606","60009678","47154","BH  ","Fieldstone on Clear Creek","OP    ","11353 Clear Creek Rd NW","Silverdale","WA","98383","Kitsap","11353 Clear Creek Rd NW","Silverdale","WA","98383","(360) 979-2256","","","3D","","","Perry, Stephanie R.","169","2/28/2027 12:00:00 AM","","","756592","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2606",
"None","No Contract","","2590","60009668","46647","BH  ","Fieldstone Rolling Bay","OP    ","10861 NE Manitou Park Blvd","Bainbridge Island","WA","98110","Kitsap","10861 NE Manitou Park Blvd","Bainbridge Island","WA","98110","(206) 594-1010","","(206) 451-4985","3D","","","Houck, Jessica","96","9/30/2026 12:00:00 AM","","","750436","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2590",
"None","No Contract","","2182","60001147","42040","BH  ","Liberty Place","OP    ","155 Lippert Dr W","Port Orchard","WA","98366","Kitsap","155 Lippert Dr W","Port Orchard","WA","98366","(360) 876-0980","","(360) 876-6701","3D","","","Huntley, Jennifer","39","5/31/2027 12:00:00 AM","","","519900","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2182",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW","","1834","60007802","30956","BH  ","Liberty Shores Senior Living","OP    ","19360 VIKING AVE NW","POULSBO","WA","98370","Kitsap","19360 VIKING AVE NW","POULSBO","WA","98370","(360) 779-5533","","(360) 779-5507","3D","","1027XS-12 , 1006XS-12 , 1002XS-12 ","Hilse, Deanna D.","112","9/30/2026 12:00:00 AM","","","484313","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1834",
"None","No Contract","","922","60000789","30247","BH  ","MADISON AVENUE RETIREMENT CENTER","OP    ","285 MADISON AVENUE SOUTH","BAINBRIDGE ISLAND","WA","98110","Kitsap","285 MADISON AVE S","BAINBRIDGE ISLAND","WA","98110","(206) 842-3694","","(206) 842-8358","3D","","","DUNCAN, KORI L.","33","7/31/2026 12:00:00 AM","","","543407","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=922",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2210","60009561","41855","BH  ","Madrona Assisted Living, LLC","OP    ","8800 Madison Ave N","Bainbridge Island","WA","98110","Kitsap","8800 Madison Ave N","Bainbridge Island","WA","98110","(206) 317-6000","","(206) 317-6007","3D","","1027XS-12 , 1006XS-12 ","Fuller, James","50","10/31/2026 12:00:00 AM","","","750298","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2210",
"None","No Contract","","2784","60008740","52320","BH  ","Marine Courte Memory Care","OP    ","948 Oyster Bay Court","Bremerton","WA","98312","Kitsap","948 Oyster Bay Court","Bremerton","WA","98312","(360) 373-9904","","(360) 373-0346","3D","","","Fitzgerald-Parpart, Haley L.","32","8/31/2026 12:00:00 AM","","","845051","False","No"," ",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2724","60008787","50315","BH  ","Orchard Pointe Senior Alzheimer Community","OP    ","300 S Kitsap Blvd","Port Orchard","WA","98366","Kitsap","300 S Kitsap Blvd","Port Orchard","WA","98366","(360) 874-7400","","","3D","","1027XS-12 , 1006XS-12 ","Davis, Angela N.","45","2/28/2027 12:00:00 AM","","","749147","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2724",
"None","Assisted Living SOW","","1810","60001810","30935","BH  ","PARK VISTA RETIREMENT& ASSISTED LIVING COMMUNITY","OP    ","2944 SE LUND AVE","PORT ORCHARD","WA","98366","Kitsap","3425 BOONE RD SE","SALEM","OR","97317","(360) 871-2323","","(360) 871-2521","3D","","1002XS-12 ","Adkinson, Priscilla","109","3/31/2027 12:00:00 AM","","","1200584","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1810",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2619","60009600","47719","BH  ","The Arbor at Bremerton","OP    ","3510 9th Street","Bremerton","WA","98312","Kitsap","3510 9th Street","Bremerton","WA","98312","(360) 525-9000","","(360) 824-5951","3D","","1027XS-12 , 1006XS-12 ","Nielsen, Rebekah","55","11/30/2026 12:00:00 AM","","","1044366","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2619",
"None","No Contract","","2246","60001140","42211","BH  ","The Cottage","OP    ","3210 Rickey Rd NE","Bremerton","WA","98310","Kitsap","3210 Rickey Rd NE","Bremerton","WA","98310","(360) 373-0553","","(360) 373-4356","3D","","","Davis, Mariah","43","3/31/2027 12:00:00 AM","","","892490","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2246",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2231","60008932","42177","BH  ","The Ridge an Encore Community","OP    ","1501 NW Tower View Cir","Silverdale","WA","98383","Kitsap","1501 NW Tower View Cir","Silverdale","WA","98383","(360) 697-4488","","(360) 697-4771","3D","","1027XS-12 , 1006XS-12 ","Burns, Taylor","54","6/30/2026 12:00:00 AM","","","765219","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2231",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","2695","60000657","49325","BH  ","Vineyard Park of Bremerton","OP    ","2707 Clare Ave","Bremerton","WA","98310","Kitsap","2707 Clare Ave","Bremerton","WA","98310","(564) 232-2695","","(564) 232-2692","3D","","1027XS-12 , 1006XS-12 ","Cruz, Bobbie Jean S.","88","2/28/2027 12:00:00 AM","","","460731","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2695",
"None","Enhanced Adult Residential Care, Assisted Living SOW","","2758","60008722","51619","BH  ","Vineyard Park of Port Orchard","OP    ","1761 POTTERY AVENUE","PORT ORCHARD","WA","98366","Kitsap","1761 POTTERY AVENUE","PORT ORCHARD","WA","98366","(360) 874-1212","","","3D","","1006XS-12 , 1002XS-12 ","Mchenry, Marcus","60","11/30/2026 12:00:00 AM","","","1228459","False","No"," ",
"None","No Contract","","1253","60008714","30536","BH  ","WYATT HOUSE RETIREMENT CENTER","OP    ","186 WYATT WAY NW","BAINBRIDGE ISLAND","WA","98110","Kitsap","186 WYATT WAY NW","BAINBRIDGE ISLAND","WA","98110","(206) 780-3646","","(206) 855-9481","3D","","","Briggs, Christina","32","6/30/2026 12:00:00 AM","","","1211109","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1253",
"None","No Contract","","2683","60008726","49223","BH  ","Avista Senior Living Ellensburg","OP    ","1008 East Mountain View Ave","Ellensburg","WA","98926","Kittitas","1008 East Mountain View Ave","Ellensburg","WA","98926","(509) 925-4484","","(509) 925-4483","1G","","","WALTNER, ARLENE C.","36","3/31/2027 12:00:00 AM","","","454010","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2683",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","2376","60001811","44097","BH  ","Ellensburg Senior Living","OP    ","818 E Mountain View Ave","Ellensburg","WA","98926","Kittitas","818 E Mountain View Ave","Ellensburg","WA","98926","(509) 925-1220","","(509) 925-1230","1G","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Sorenson, Brian G.","80","1/31/2027 12:00:00 AM","","","749828","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2376",
"None","Assisted Living SOW","","2711","60000735","50251","BH  ","Hearthstone Senior Living","OP    ","802 East Mountain View Ave","Ellensburg","WA","98926","Kittitas","802 East Mountain View Ave","Ellensburg","WA","98926","(509) 925-3099","","(509) 925-1144","1G","","1002XS-12 ","McCarthy, Kayla","69","12/31/2026 12:00:00 AM","","","1004927","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2711",
"None","Assisted Living SOW, Adult Residential Care","","2609","60006875","47409","BH  ","Centralia Point Assisted Living and Memory Care","OP    ","2010 Cooks Hill Rd","Centralia","WA","98531","Lewis","2010 Cooks Hill Rd","Centralia","WA","98531","(360) 330-2010","","(360) 330-9171","3E","","1002XS-12 , 1007XS-12 ","Sweeney, Dawnielle","63","2/28/2027 12:00:00 AM","","","1230147","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2609",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","783","60000651","30163","BH  ","CHEHALIS WEST RETIREMENT CENTER INC","OP    ","478 NW QUINCY PLACE","CHEHALIS","WA","98532","Lewis","478 NW QUINCY PLACE","Chehalis","WA","98532","(360) 748-9911","","(360) 748-4642","3E","","1027XS-12 , 1006XS-12 , 1002XS-12 , 1007XS-12 ","Wing, Donna M.","66","2/28/2027 12:00:00 AM","","","750306","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=783",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW","","2010","60008770","39836","BH  ","HERITAGE HOUSE MORTON","OP    ","860 W Main","Morton","WA","98356","Lewis","PO BOX 1329","Morton","WA","98356","(360) 496-6699","","(360) 496-6693","3E","","1027XS-12 , 1006XS-12 , 1002XS-12 ","Elswick, Tammi","44","8/31/2026 12:00:00 AM","","","750243","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2010",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","1428","60001323","30665","BH  ","SHARON CARE CENTER ASSISTED LIVING","OP    ","1509 HARRISON AVE","CENTRALIA","WA","98531","Lewis","1509 HARRISON AVE","CENTRALIA","WA","98531","(360) 736-0112","","(360) 807-0667","3E","","1027XS-12 , 1006XS-12 , 1002XS-12 , 1007XS-12 ","Reed, Jymmie L.","72","7/31/2026 12:00:00 AM","","","531857","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1428",
"None","Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care","","2685","60009696","49116","BH  ","Wellspring Centralia LLC","OP    ","1215 S Tower Ave","Centralia","WA","98531","Lewis","1215 S Tower Ave","Centralia","WA","98531","(425) 900-1108","","(360) 807-4326","3E","","1027XS-12 , 1006XS-12 , 1007XS-12 ","Sutherland, Kari L.","22","2/28/2027 12:00:00 AM","","","533978","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2685",
"None","Specialized Dementia Care, Assisted Living SOW","","2512","60009649","45644","BH  ","Woodland Village","OP    ","2100 SW Woodland Circle","Chehalis","WA","98532","Lewis","2020 A St SE Ste 101","Auburn","WA","98002","(360) 748-0095","","(360) 740-0760","3E","","1027XS-12 , 1002XS-12 ","Milton, Kiersten T.","47","8/31/2026 12:00:00 AM","","","709894","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2512",
"None","Assisted Living SOW, Adult Residential Care","","1194","60001319","30487","BH  ","QUAIL COURT","OP    ","506 E AMENDE DR","ODESSA","WA","99159","Lincoln","PO BOX 368","ODESSA","WA","99159","(509) 982-2611","","(509) 982-2159","1B","","1002XS-12 , 1007XS-12 ","Gies, Leslie-Nichole","12","1/31/2027 12:00:00 AM","","","550307","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1194",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Assisted Living Services ECS","","2637","60009595","47919","BH  ","Vista Manor","OP    ","700 SE Brace St","Wilbur","WA","99185","Lincoln","700 SE Brace St","Wilbur","WA","99185","(509) 647-2211","","(509) 647-0131","1B","","1006XS-12 , 1002XS-12 , 1006XS-12 ","Anchondo, Erica","16","8/31/2026 12:00:00 AM","","","855556","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2637",
"None","Specialized Dementia Care, Assisted Living SOW","","2141","60000604","41738","BH  ","Alpine Way Retirement Apartments","OP    ","900 W Alpine Way","Shelton","WA","98584","Mason","900 W Alpine Way","Shelton","WA","98584","(360) 426-2600","","(360) 427-3299","3E","","1027XS-12 , 1002XS-12 ","Hunter, Trudy L.","103","12/31/2026 12:00:00 AM","","","749368","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2141",
"None","No Contract","","2757","60009506","51641","BH  ","Belle Vie of Allyn LLC","OP    ","180 East Wheelwright Street S","Allyn","WA","98524","Mason","11705 SE 269th Place","Kent","WA","98030","(253) 486-8940","","(253) 981-4330","3E","","","Singh, Amarpreet","16","4/30/2027 12:00:00 AM","","","445345","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2757",
"None","Enhanced Adult Residential Care, Assisted Living SOW","","2655","60008824","48406","BH  ","Maple Glen Assisted Living","OP    ","1700 N 13th Loop Rd","Shelton","WA","98584","Mason","1700 N 13th Loop Rd","Shelton","WA","98584","(360) 427-0300","","(360) 427-0303","3E","","1006XS-12 , 1002XS-12 ","Hans, Jaimie A.","63","4/30/2027 12:00:00 AM","","","514435","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2655",
"None","Assisted Living SOW","","1277","60008724","30557","BH  ","APPLE SPRINGS RETIREMENT AND ASSISTED LIVING RESIDENCE","OP    ","1001 SENNA STREET","OMAK","WA","98841","Okanogan","1001 SENNA STREET","OMAK","WA","98841","(509) 826-3590","","(509) 826-5595","1B","","1002XS-12 ","Cooper, Devan M.","60","1/31/2027 12:00:00 AM","","","750008","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1277",
"None","Assisted Living SOW","","1970","60008802","39481","BH  ","GOLDEN SANDS AT KLIPSAN BEACH","OP    ","21608 O LANE","OCEAN PARK","WA","98640","Pacific","21608 O LANE","OCEAN PARK","WA","98640","(360) 665-0190","","(360) 665-0194","3E","","1002XS-12 ","Morrison, Erin","47","6/30/2026 12:00:00 AM","","","1124206","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1970",
"None","EARC Medically Complex Services, Assisted Living SOW","","1613","60008847","30798","BH  ","RIVER MOUNTAIN VILLAGE ASSISTED LIVING","OP    ","608 W 2nd St","Newport","WA","99156","Pend Oreille","714 W Pine Street","NEWPORT","WA","99156-9046","(509) 447-2903","","(509) 447-6288","1B","","1068XS-12 , 1002XS-12 ","Cooper, Jenny","111","6/30/2026 12:00:00 AM","","","1102583","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1613",
"None","Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2681","60000801","49175","BH  ","6 Stars Healthcare LLC","OP    ","10816 18th Ave E","Tacoma","WA","98445","Pierce","10816 18th Ave E","Tacoma","WA","98445","(253) 537-5395","","(253) 536-7893","3D","","1006XS-12 , 1006XS-12 , 1007XS-12 ","Aseresu, Mulugeta T.","46","4/30/2027 12:00:00 AM","","","163520","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2681",
"None","WCF ALF SOW, Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2552","60000878","46368","BH  ","6th Avenue Senior Living LLC","OP    ","610 N FIFE ST","TACOMA","WA","98406","Pierce","610 N FIFE ST","TACOMA","WA","98406","(253) 272-8600","","(253) 272-5058","3D","","1404XS-12 , 1006XS-12 , 1006XS-12 , 1007XS-12 ","Flores, Shannon","107","8/31/2026 12:00:00 AM","","","750516","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2552",
"None","No Contract","","2680","60001198","49224","BH  ","Avista Senior Living Sumner","OP    ","5713 Parker Rd E","Sumner","WA","98390","Pierce","5713 Parker Rd E","Sumner","WA","98390","(253) 891-3569","","(253) 891-9433","3D","","","Holm, Kelly","51","2/28/2027 12:00:00 AM","","","160605","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2680",
"None","No Contract","","2555","60009656","45928","BH  ","Bonaventure of Puyallup","OP    ","14503 Meridian Avenue E","Puyallup","WA","98375","Pierce","14503 Meridian Avenue E","Puyallup","WA","98375","(253) 387-8166","","(253) 387-6167","3D","","","Oviatt, April E.","109","10/31/2026 12:00:00 AM","","","453312","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2555",
"None","Assisted Living SOW","","2427","60008857","44684","BH  ","Bridgeport Place","OP    ","5250 Bridgeport Way W","University Place","WA","98467","Pierce","5250 Bridgeport Way W","University Place","WA","98467","(253) 565-1960","","(253) 565-1996","3D","","1002XS-12 ","Olomon, Amber","81","9/30/2026 12:00:00 AM","","","749981","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2427",
"None","Assisted Living SOW, Adult Residential Care","","1701","60008951","30853","BH  ","Brookdale Allenmore AL (WA)","OP    ","3615 S. 23RD STREET","TACOMA","WA","98405","Pierce","3615 S. 23RD STREET","TACOMA","WA","98405","(253) 759-7770","","(253) 759-7776","3D","","1002XS-12 , 1007XS-12 ","Anderson, Cristine J.","80","6/30/2026 12:00:00 AM","","","478673","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1701",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","2366","60001165","43928","BH  ","Brookdale Courtyard Puyallup","OP    ","4610 6TH STREET PLACE SE","PUYALLUP","WA","98374","Pierce","4610 6TH STREET PLACE SE","PUYALLUP","WA","98374","(253) 841-9722","(253) 435-5466","","3D","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Schwartz, Michael D.","120","9/30/2026 12:00:00 AM","","","572564","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2366",
"None","Enhanced Adult Residential Care","","1912","60006215","30950","BH  ","Brookdale Harbor Bay","OP    ","9324 NORTH HARBORVIEW DR","GIG HARBOR","WA","98332","Pierce","9324 NORTH HARBORVIEW DR","GIG HARBOR","WA","98332","(253) 858-7790","","(253) 858-7041","3D","","1006XS-12 ","Chaney, Angie R.","44","2/28/2027 12:00:00 AM","","","1001379","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1912",
"None","Specialized Dementia Care, Enhanced Adult Residential Care","","1702","60008723","30854","BH  ","Brookdale Puyallup South","OP    ","8811 176TH ST EAST","PUYALLUP","WA","98375","Pierce","8811 176TH ST EAST","PUYALLUP","WA","98375","(253) 445-1300","","(253) 445-1400","3D","","1027XS-12 , 1006XS-12 ","Russell, Hattie","64","12/31/2026 12:00:00 AM","","","926891","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1702",
"None","WCF Memory Care, WCF ALF SOW, Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care","","2605","60007939","47012","BH  ","Cascade Park Gardens, L.L.C.","OP    ","4347 S UNION AVE","TACOMA","WA","98409","Pierce","4347 S UNION AVE","TACOMA","WA","98409","(253) 475-3702","","(253) 475-3708","3D","","1404XS-12 , 1404XS-12 , 1027XS-12 , 1006XS-12 , 1007XS-12 ","McMullen, Whitney","63","9/30/2026 12:00:00 AM","","","1195726","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2605",
"None","No Contract","","1951","60009503","38770","BH  ","Cedar Ridge Retirement & Assisted Living Community","OP    ","9515 198th Avenue East","Bonney Lake","WA","98391","Pierce","3425 Boone Rd SE","Salem","OR","97317","(253) 299-6461","(253) 299-6475","","3D","","","Tovoli, Susan","70","4/30/2027 12:00:00 AM","","","810381","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1951",
"None","Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care","","2120","60000880","41029","BH  ","CHARLTON PLACE","OP    ","9723 South Steele St","Tacoma","WA","98444","Pierce","9723 South Steele St","Tacoma","WA","98444","(253) 589-1834","","(253) 581-8540","3D","","1006XS-12 , 1002XS-12 , 1007XS-12 ","Severa, James","90","1/31/2027 12:00:00 AM","","","749443","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2120",
"None","No Contract","","2654","60000816","48186","BH  ","Cogir at The Narrows","OP    ","802 N Laurel Ln","Tacoma","WA","98406","Pierce","802 N Laurel Ln","Tacoma","WA","98406","(253) 564-4770","","(253) 566-1229","3D","","","Levingston, Angela","115","1/31/2027 12:00:00 AM","","","750597","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2654",
"None","No Contract","","2578","60009670","46670","BH  ","Deer Ridge Memory Care Community","OP    ","3901 5th St SE","Puyallup","WA","98374","Pierce","3901 5th St SE","Puyallup","WA","98374","(253) 446-7892","","(253) 446-7925","3D","","","Miller, Tara","70","6/30/2026 12:00:00 AM","","","960161","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2578",
"None","Assisted Living SOW","","1187","60001187","30480","BH  ","eliseo","OP    ","1301 N HIGHLANDS PARKWAY","TACOMA","WA","98406","Pierce","1301 N HIGHLAND PARKWAY","TACOMA","WA","98406","(253) 752-7112","","(253) 752-7265","3D","","1002XS-12 ","MacDuff, Brian","71","12/31/2026 12:00:00 AM","","","1196797","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1187",
"None","Enhanced Adult Residential Care, Assisted Living Services ECS, Adult Residential Care","","2004","60000887","39721","BH  ","Emerald Care Center Inc","OP    ","23809 46th Ave E","Spanaway","WA","98387","Pierce","23809 46th Ave E","Spanaway","WA","98387","(253) 847-9452","","(253) 847-3342","3D","","1006XS-12 , 1006XS-12 , 1007XS-12 ","NDUNGU, FAITH N.","14","6/30/2026 12:00:00 AM","","","499247","False","Yes","https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2004",
